Time,q,qdes
3.164,0.537468,59.817986
3.263,3.082936,58.761002
3.362,6.489787,56.777322
3.461,9.982895,53.898229
3.561,12.988382,50.169129
3.660,15.241760,45.648833
3.760,16.565385,40.408626
3.859,17.222340,34.531152
3.958,17.322988,28.109100
4.58,17.322579,21.243752
4.158,17.319220,14.043377
4.258,17.285671,6.621529
4.357,17.136130,-0.904744
4.457,16.673614,-8.416749
4.557,15.650070,-15.796017
4.656,14.157836,-22.926172
4.756,12.052320,-29.694768
4.855,9.440525,-35.995059
4.954,6.349644,-41.727687
5.53,2.817993,-46.802244
5.152,-1.054914,-51.138702
5.252,-5.234486,-54.668672
5.351,-9.502947,-57.336485
5.451,-13.687875,-59.100066
5.550,-17.570544,-59.931605
5.650,-21.015620,-59.817986
5.750,-23.912924,-58.761002
5.849,-26.191406,-56.777322
5.949,-27.777387,-53.898229
6.49,-28.849280,-50.169129
6.149,-29.332497,-45.648833
6.248,-29.357557,-40.408626
6.347,-29.357012,-34.531152
6.447,-29.353244,-28.109100
6.546,-29.335494,-21.243752
6.645,-29.199027,-14.043377
6.744,-28.769153,-6.621529
6.843,-27.964563,0.904744
6.942,-26.604438,8.416749
7.42,-24.679106,15.796017
7.141,-22.135544,22.926172
7.240,-18.968395,29.694768
7.340,-15.172482,35.995059
7.440,-10.845004,41.727687
7.540,-6.063681,46.802244
7.639,-0.954539,51.138702
7.739,4.288073,54.668672
7.838,9.429674,57.336485
7.938,14.271422,59.100066
8.37,18.633902,59.931605
8.137,22.353909,59.817986
8.236,25.382231,58.761002
8.336,27.666480,56.777322
8.436,29.215143,53.898229
8.536,30.177446,50.169129
8.635,30.581852,45.648833
8.734,30.601781,40.408626
8.834,30.601373,34.531152
8.933,30.599602,28.109100
9.32,30.589206,21.243752
9.132,30.531551,14.043377
9.231,30.256575,6.621529
9.331,29.555901,-0.904744
9.431,28.140435,-8.416749
9.530,26.197762,-15.796017
9.629,23.626099,-22.926172
9.729,20.384587,-29.694768
9.828,16.512224,-35.995059
9.928,12.109022,-41.727687
10.28,7.274947,-46.802244
10.127,2.172115,-51.138702
10.227,-3.054835,-54.668672
10.327,-8.212689,-57.336485
10.427,-13.087168,-59.100066
10.526,-17.505034,-59.931605
10.626,-21.338627,-59.817986
10.725,-24.536829,-58.761002
10.824,-27.053107,-56.777322
10.924,-28.846193,-53.898229
11.23,-29.927666,-50.169129
11.122,-30.520973,-45.648833
11.222,-30.624435,-40.408626
11.322,-30.623754,-34.531152
11.421,-30.619033,-28.109100
11.520,-30.564646,-21.243752
11.619,-30.350458,-14.043377
11.719,-29.937336,-6.621529
11.819,-29.202023,0.904744
11.919,-27.797362,8.416749
12.19,-25.743146,15.796017
12.118,-23.025392,22.926172
12.218,-19.642057,29.694768
12.317,-15.634634,35.995059
12.416,-11.069043,41.727687
12.516,-6.056735,46.802244
12.615,-0.742394,51.138702
12.714,4.657522,54.668672
12.813,9.958289,57.336485
12.913,14.938955,59.100066
13.13,19.372619,59.931605
13.112,23.140022,59.817986
13.212,26.121357,58.761002
13.312,28.323707,56.777322
13.412,29.842681,53.898229
13.511,30.694802,50.169129
13.610,31.032291,45.648833
13.709,31.057260,40.408626
13.808,31.056851,34.531152
13.908,31.055036,28.109100
14.7,31.039237,21.243752
14.107,30.887653,14.043377
14.206,30.552161,6.621529
14.305,29.847039,-0.904744
14.405,28.409964,-8.416749
14.505,26.285743,-15.796017
14.604,23.512104,-22.926172
14.704,20.093949,-29.694768
14.804,16.063601,-35.995059
14.904,11.453020,-41.727687
15.3,6.422644,-46.802244
15.102,1.121604,-51.138702
15.201,-4.270231,-54.668672
15.301,-9.589158,-57.336485
15.400,-14.623257,-59.100066
15.499,-19.146491,-59.931605
15.598,-23.007142,-59.817986
15.698,-26.101427,-58.761002
15.797,-28.477743,-56.777322
15.896,-30.114161,-53.898229
15.995,-31.107380,-50.169129
16.94,-31.526313,-45.648833
16.194,-31.607439,-40.408626
16.294,-31.606985,-34.531152
16.393,-31.604715,-28.109100
16.493,-31.589825,-21.243752
16.593,-31.503977,-14.043377
16.693,-31.184148,-6.621529
16.792,-30.286174,0.904744
16.891,-28.780866,8.416749
16.990,-26.617285,15.796017
17.90,-23.830526,22.926172
17.189,-20.377233,29.694768
17.288,-16.274293,35.995059
17.388,-11.617361,41.727687
17.487,-6.544901,46.802244
17.586,-1.211629,51.138702
17.685,4.204359,54.668672
17.785,9.471350,57.336485
17.885,14.373250,59.100066
17.984,18.744492,59.931605
18.83,22.480570,59.817986
18.182,25.478838,58.761002
18.281,27.737028,56.777322
18.381,29.272345,53.898229
18.480,30.235011,50.169129
18.579,30.642549,45.648833
